best_cluster,current_position
9,"['Full Stack Developer', 'Sr. Java Developer', 'Sr. JAVA/J2EE FULL Stack Developer', '.NET Developer', 'Java Software Developer', 'Sr Full Stack Developer', 'Full Stack Engineer', 'Full Stack Engineer', 'Full Stack Java Developer', 'Java Full Stack Developer', 'Java Full Stack Developer', 'Mulesoft Developer', 'Mulesoft Developer', 'Full Stack Developer', 'Mulesoft Developer', 'Sr. Java Developer', 'Full Stack Dotnet Developer', 'Full Stack Engineer', 'Java/MuleSoft Developer', 'Sr Java Developer', 'Java Developer', 'Full-stack .NET Developer', 'Java Developer', 'Full Stack Developer', 'Full Stack Developer', 'Sr.Java Full Stack Developer', 'Full Stack Developer', 'Mulesoft lead developer', 'Java Developer', 'Java Full Stack Developer', 'Java Software Developer', 'Full Stack Developer', 'Java Developer', 'Software Engineer II - Full Stack', 'Full Stack Developer', '.NET Developer', '.NET Developer', 'Dotnet Developer', 'Sr. Dot Net full Stack Developer ', 'Sr Full Stack Developer', ' Sr. MuleSoft Integration Developer', 'Sr Full Stack Developer ', 'Sr. Mulesoft Developer', 'Java Developer', '.NET Full Stack Developer/Production Support Engineer', 'Full stack .Net developer', 'Full-stack Developer', 'Mulesoft Developer', 'Full stack Java Developer', 'Full-stack Developer', 'Full Stack Java Software Engineer', 'Java developer', '.Net Developer']"
10,"['Quantitative Analyst', 'Quantitative Analyst', 'Quantitative Analyst', 'Quantitative Analyst Intern', 'Senior Quantitative Analyst']"
11,"['Application Developer', 'Application Developer', 'Application Developer V', 'Senior Application Engineer', 'Application Developer', 'Senior Application Analyst', 'Application Developer V', 'Application Developer', 'Senior Application Developer', 'Application Developer', 'Application Developer V.', 'Sr Application Developer']"
12,"['DevOps Engineer', 'DevOps Software Engineer', 'Cloud Engineer', 'DevOps Engineer', 'Sr. Platform/DevOps Engineer\t', 'DevOps Engineer', 'DevOps Engineer', 'DevOps Engineer', 'Cloud Engineer', 'Devops cloud engineer', 'DevOps Engineer', 'DevOps Engineer', 'Cloud Engineer', 'DevOps Software Engineer', 'DevOps Engineer', 'Cloud Developer', 'DevOps Engineer', 'DevOps Engineer', 'Sr. DevOps Engineer', 'Devops Engineer', 'Software Consultant', 'DevOps Engineer/Cloud Engineer', 'Advisory Senior Consultant - Cloud Security', 'Software Consultant', 'Cloud / DevOps Engineer', 'Cloud Engineer', 'Senior Consultant - Cloud Engineering', 'DevOps Engineer', 'Cloud Engineering Consultant', 'Cloud Data Engineer-Solutions Analyst', 'Cloud Engineer', 'Cloud Engineer', 'Cloud Engineer', 'Data Engineer Consultant', 'Cloud Engineering Senior Consultant', 'Cloud Security Engineer', 'Cloud Security Analyst', 'Senior Consultant - Cloud Strategy & Engineering', 'Automation Engineering Consultant', 'Software Engineer Consultant', 'DevOps Engineer', 'Software Consultant', 'Cloud DevOps Engineer', 'Cloud Engineering Consultant', 'Cloud DevOps Analyst Intern', 'DevOps Engineer', 'Cloud Data Engineer', 'Software Engineering Consultant', 'Senior Consultant, Cloud Engineer', 'Software Consultant', 'Cloud Engineer', 'Cloud Security Consultant', 'Senior Consultant, Cloud Security', 'Senior Consultant, Cloud Engineering']"
13,"['Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'M&A Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'M&A Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst', 'Analyst']"
14,"['Trading Analyst', 'Sales & Trading Analyst', 'Sales & Trading Analyst', 'Sales and Trading Summer Analyst', 'Sales & Trading Analyst', 'Incoming Sales and Trading Analyst', 'Sales & Trading Analyst']"
15,"['Global Risk Analyst ', 'Global Risk Analyst, Counterparty Credit Risk', 'Global Risk Analyst', 'Global Risk Analyst', 'Global Risk Analyst', 'Global Risk Analyst ', 'Global Risk Analyst', 'Global Risk Analyst']"
16,"['Tableau developer', 'Sr Tableau Developer', 'Tableau developer', 'Tableau Developer', 'Tableau Developer']"
17,"['Senior Software Engineer (VP)', 'VP Software Engineering', 'VP Software Engineering', 'VP - Software Engineer', 'VP Software Engineering', 'Senior Software Engineer (VP)', 'VP, Software Engineer', 'VP Software Engineer', 'VP, Software Engineer']"
18,"['Lead Data Engineer', 'Lead Software Developer', 'Lead Software Engineer', 'Lead Software Engineer', 'Lead Data Analyst', 'Lead Data Engineer', 'Lead Analyst', 'Lead Software Engineer', 'Lead Software Engineer', 'Lead Software Engineer']"
19,"['Cybersecurity Analyst', 'Cybersecurity Analyst', 'Cybersecurity Analyst', 'Cybersecurity Analyst', 'Sr Cybersecurity Engineer', 'Cybersecurity Consultant', 'Cybersecurity Analyst', 'Cybersecurity Analyst', 'Cybersecurity Senior Consultant', 'Cybersecurity Consultant']"
20,"['Salesforce Developer', 'Salesforce Developer', 'Salesforce Developer', 'Senior Salesforce Developer', 'Senior Salesforce Developer', 'Senior Salesforce Developer', 'Salesforce Developer']"
21,"['Data Scientist', 'Senior Data Scientist', 'Data Scientist', 'Data Scientist', 'Data Scientist', 'Data Scientist', 'Data Scientist', 'Senior AI Data Scientist ', 'Data Scientist Lead', 'Data Scientist']"
22,"['Global Operations Analyst', 'Operations Data Analyst', 'Operations Analyst - Global Operations', 'Global Operations Development Analyst', 'Global Operations Analyst', 'Global Operations Analyst', 'Global Operations Development Analyst', 'Operations Analyst']"
23,"['Software Development Engineer in Test', 'Software Development Engineer in Test', 'Software Developer Engineer in Test', 'Software Development Engineer in Test', 'Software Developer in Test']"
24,"['Systems Analyst', 'Network/ Systems Engineer', 'Technical Systems Analyst', 'Systems Engineer', 'Business Systems Analyst', 'Business Systems Analyst']"
25,"['Cyber Security Analyst', 'Cyber Security Officer', 'Cyber Security Analyst', 'Cyber Security Engineer', 'Cyber Security Analyst']"
26,"['Software Engineering Manager', 'Senior Software Engineering Manager', 'Software Engineer Manager', 'Manager, Cloud Engineering', 'Manager, Cloud Engineering', 'Manager, Cloud Engineering', 'Senior Manager, Cloud Engineering', 'Software Engineering Manager', 'Software QA Manager', 'Software Engineering Manager']"
27,"['Corporate Banking Analyst', 'Corporate Banking Analyst', 'Global Corporate & Investment Banking Credit Analyst', 'Global Corporate & Investment Banking Credit Analyst', 'Global Corporate Banking Analyst']"
28,"['Senior Database Developer', 'Senior Database Engineer', 'Senior Database Developer', 'Database Consultant', 'Database Engineer']"
29,"['Quality Assurance Automation Engineer', 'Quality Assurance Automation Engineer', 'Senior Software Quality Assurance Specialist', 'Quality Assurance Analyst', 'Quality Assurance Engineer']"
30,"['IT Business Analyst V - Business Support Manager', 'IT Business Analyst', 'IT Business Operations Analyst', 'IT Analyst', 'IT Analyst', 'IT Analyst', 'Senior IT Security Analyst', 'IT Business Operations Analyst', 'IT Analyst', 'IT Business Operations Analyst']"
31,"['Project Delivery Analyst', 'Project Delivery Analyst', 'DC Project Delivery Senior Analyst', 'Project Delivery Senior Analyst - Full Stack Developer', 'Project Delivery Senior Analyst']"
32,"['Solution Analyst', 'Solution Analyst (Software Developer)', 'Solution Analyst', 'Solution Analyst', 'Senior Solution Engineer', 'Solution Analyst', 'Solution Analyst', 'Solution Analyst', 'Solution Analyst', 'Solution Analyst', 'Solution Analyst (Software Developer)', 'Solution Analyst', 'Solution Analyst', 'Solution Engineer', 'Senior Solution Engineer']"
33,"['Advisory Analyst', 'Advisory Analyst', 'Advisory Analyst', 'Advisory Analyst II', 'Advisory Analyst']"
34,"['Data and Analytics Consultant', 'Data Engineer Strategy & Analytics', 'Consultant/Data Analytics Engineer', 'Data Analytics Consultant', 'Data Analytics Consultant']"
